block,run_json,configuration,dwell_us,round,control,any_window_pass,first_phase_pass_ms,error,common_rotation_deg,gain_error_db,maximum_observable_gain_error_db,maximum_observable_phase_bias_deg,passed,raw_phase_bias_deg,relative_phase_bias_deg,weighted_phase_bias_deg
block-20260908T164249289170Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r1-200us-20260908T164419.671459Z/run.json,A,200,1,False,True,50.83204270193895,,-0.9641396769583918,"[1.384101266728977, -0.36318261322791445, -0.6409983903750694, -0.5398015597124474, -0.32693309161333484, -0.5399464605782076]",0.6409983903750694,3.26371212191503,True,"[-8.242283764025954, -1.541545953515439, 1.3578578376319, -4.227851798873421, -0.6070364333392547, -0.22391716440449447]","[-7.278144087067563, -0.5774062765570472, 2.321997514590292, -3.26371212191503, 0.35710324361913703, 0.7402225125538973]",1.6286431833222008
block-20260908T164249289170Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r1-200us-control-20260908T164428.709688Z/run.json,A,200,1,True,False,,autonomous C6 harmonic frequency estimates are inconsistent,,,,,,,,
block-20260908T164249289170Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r1-1000us-20260908T164443.275303Z/run.json,A,1000,1,False,True,25.118057695986234,,-0.6776987481410359,"[2.7714800645857975, 0.3039780310060798, 0.2825776060262227, 0.22163002781485946, 0.31008104783089396, 0.32423361378343113]",0.32423361378343113,2.100591212846378,True,"[-0.7907424331090823, -1.5313808045216075, 0.9581686209810276, -2.7782899609874137, 0.2211043536788416, 0.00027707232844941557]","[-0.11304368496804641, -0.8536820563805716, 1.6358673691220633, -2.100591212846378, 0.8988031018198774, 0.6779758204694855]",1.2412038163883272
block-20260908T164249289170Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r2-1000us-20260908T164452.460598Z/run.json,A,1000,2,False,True,25.115890690303072,,-0.24279955532616135,"[-0.965394464238676, -0.10987268171440864, -0.21237841789868378, -0.20022591885047972, 0.08868173723842065, -0.010731111377806237]",0.21237841789868378,2.6144991856683144,True,"[14.585871785596108, -1.8323391911557503, 2.371699630342153, -2.031352936447031, 0.4125620799024658, 1.3318544553347804]","[14.828671340922272, -1.5895396358295892, 2.6144991856683144, -1.7885533811208698, 0.6553616352286272, 1.5746540106609417]",1.9098721100420268
block-20260908T164249289170Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r2-200us-control-20260908T164507.629421Z/run.json,A,200,2,True,True,50.82379704187223,,-1.0317918789189955,"[-1.0452389415773031, 0.01823172517160612, -0.04756654691948115, -0.2757026715711775, 0.14739944771922658, 0.20562488543660146]",0.2757026715711775,2.042286281510337,True,"[-5.6946131629298185, -2.0693123656183836, 1.0104944025913418, -2.0571395000138812, -0.5201390724017261, -0.9027809106453724]","[-4.662821284010823, -1.0375204866993883, 2.042286281510337, -1.0253476210948858, 0.5116528065172695, 0.12901096827362343]",1.2380373509039304
block-20260908T164249289170Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r2-200us-20260908T164516.579171Z/run.json,A,200,2,False,True,50.827333257799,,-1.9050755536638333,"[0.9958036649774477, -0.12021271781704783, -0.22009245801759586, -0.3140702360882788, -0.15305640546261917, 0.28093082844443384]",0.3140702360882788,2.2731725518379915,True,"[-7.286973751767047, -2.6870321406791158, -1.552805945874248, -2.8348445054037734, 0.3680969981741583, -3.373026939526396]","[-5.381898198103214, -0.7819565870152826, 0.35226960778958494, -0.9297689517399407, 2.2731725518379915, -1.4679513858625628]",1.2862646478368729
block-20260908T164249289170Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r3-200us-20260908T164525.695849Z/run.json,A,200,3,False,True,100.15815113861242,,-0.44620158490506817,"[0.8592674606463292, 0.02804860640551764, -0.4147230767909385, -0.2843981924482958, -0.07056971768477002, -0.4182193361405596]",0.4182193361405596,1.9316496480153318,True,"[2.9976597243041847, -1.9685723006018168, 0.3100216925902598, 1.0932492360964914, 1.4854480631102636, -2.143531151088157]","[3.443861309209253, -1.522370715696749, 0.7562232774953279, 1.5394508210015596, 1.9316496480153318, -1.6973295661830887]",1.5207426515514355
block-20260908T164249289170Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r3-1000us-20260908T164540.641590Z/run.json,A,1000,3,False,True,25.113254715827736,,-1.2974767553606439,"[2.3138941497907584, 0.23841097865504646, -0.09866557315488922, 0.13894753939405266, 0.3927989981949891, 0.3641002556805757]",0.3927989981949891,1.7042150428339995,True,"[3.817077753539326, -2.2271760815335586, -0.31943001484883915, -2.6512714178954377, 0.4067382874733555, -1.8948640435751858]","[5.114554508899969, -0.9296993261729152, 0.9780467405118047, -1.3537946625347939, 1.7042150428339995, -0.5973872882145419]",1.1989197896926764
block-20260908T164249289170Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164249289170Z-r3-200us-control-20260908T164555.467050Z/run.json,A,200,3,True,False,,,-11.409862286641287,"[12.90992207354078, -12.583383315988858, -4.757830637965125, 0.7313801578549138, -3.0768950526691135, 0.9604777620488015]",12.583383315988858,75.98178598550847,False,"[71.86270150771064, -22.14704320902376, 64.57192369886718, -18.85960116649157, -62.82322637327557, 24.3741018016117]","[83.27256379435192, -10.737180922382477, 75.98178598550847, -7.44973887985028, -51.413364086634274, 35.783964088252986]",43.72429054307058
block-20260908T164901336940Z,/srv/bulk/samteway/lab-data/tracking-comprehensive-20260908-v1/captures/block-20260908T164901336940Z-r1-200us-20260908T165044.855101Z/run.json,A,200,1,False,False,,,-7.003548041525752,"[13.653847948450053, 13.855822738345145, 14.903866461004212, 14.323499812239797, 15.787273795714594, 14.282035017770369]",14.903866461004212,7.892269390967708,False,"[-8.766651354252847, -12.22399842603506, -3.9219819889794385, 0.8887213494419554, 3.77316460971441, -3.419501634309259]","[-1.763103312727097, -5.220450384509308, 3.081566052546313, 7.892269390967708, 10.776712651240159, 3.5840464072164933]",3.540034667336766
