frequency_mhz,configuration,block_started_at,dwell_us,control,acquired_attempts,analyzed_attempts,phase_closure_pass_count,block_status
5800.0,A,2026-09-08T16:42:49.289200+00:00,200,False,3,3,3,diagnostic-complete
5800.0,A,2026-09-08T16:42:49.289200+00:00,1000,False,3,3,3,diagnostic-complete
5800.0,A,2026-09-08T16:42:49.289200+00:00,200,True,3,3,1,diagnostic-complete
2450.0,A,2026-09-08T16:49:01.336984+00:00,200,False,3,3,0,failed
2450.0,A,2026-09-08T16:49:01.336984+00:00,1000,False,3,3,0,failed
2450.0,A,2026-09-08T16:49:01.336984+00:00,200,True,2,2,0,failed
2475.0,A,2026-09-08T17:16:00.754232+00:00,200,False,3,3,0,diagnostic-complete
2475.0,A,2026-09-08T17:16:00.754232+00:00,1000,False,3,3,3,diagnostic-complete
2475.0,A,2026-09-08T17:16:00.754232+00:00,200,True,3,3,0,diagnostic-complete
5811.0,A,2026-09-08T22:22:35.133370+00:00,25,False,3,3,0,diagnostic-complete
5811.0,A,2026-09-08T22:22:35.133370+00:00,50,False,3,3,0,diagnostic-complete
5811.0,A,2026-09-08T22:22:35.133370+00:00,100,False,3,3,0,diagnostic-complete
5811.0,A,2026-09-08T22:22:35.133370+00:00,200,False,3,3,1,diagnostic-complete
5811.0,A,2026-09-08T22:22:35.133370+00:00,1000,False,3,3,3,diagnostic-complete
5811.0,A,2026-09-08T22:22:35.133370+00:00,200,True,3,3,2,diagnostic-complete
5811.0,B,2026-09-08T22:31:36.472675+00:00,25,False,3,3,0,failed
5811.0,B,2026-09-08T22:31:36.472675+00:00,50,False,3,3,1,failed
5811.0,B,2026-09-08T22:31:36.472675+00:00,100,False,3,3,2,failed
5811.0,B,2026-09-08T22:31:36.472675+00:00,200,False,3,3,2,failed
5811.0,B,2026-09-08T22:31:36.472675+00:00,1000,False,3,3,2,failed
5811.0,B,2026-09-08T22:31:36.472675+00:00,200,True,3,3,1,failed
5811.0,B,2026-09-08T22:31:36.472675+00:00,1000,True,3,3,3,failed
5811.0,D,2026-09-08T22:45:32.349619+00:00,25,False,3,3,0,diagnostic-complete
5811.0,D,2026-09-08T22:45:32.349619+00:00,50,False,3,3,0,diagnostic-complete
5811.0,D,2026-09-08T22:45:32.349619+00:00,100,False,3,3,0,diagnostic-complete
5811.0,D,2026-09-08T22:45:32.349619+00:00,200,False,3,3,0,diagnostic-complete
5811.0,D,2026-09-08T22:45:32.349619+00:00,1000,False,3,3,2,diagnostic-complete
5811.0,D,2026-09-08T22:45:32.349619+00:00,200,True,3,3,0,diagnostic-complete
5811.0,D,2026-09-08T22:45:32.349619+00:00,1000,True,3,3,3,diagnostic-complete
2475.0,A,2026-09-08T22:58:55.806988+00:00,25,False,3,3,0,diagnostic-complete
2475.0,A,2026-09-08T22:58:55.806988+00:00,50,False,3,3,0,diagnostic-complete
2475.0,A,2026-09-08T22:58:55.806988+00:00,100,False,3,3,0,diagnostic-complete
2475.0,A,2026-09-08T22:58:55.806988+00:00,200,False,3,3,0,diagnostic-complete
2475.0,A,2026-09-08T22:58:55.806988+00:00,1000,False,3,3,1,diagnostic-complete
2475.0,A,2026-09-08T22:58:55.806988+00:00,200,True,3,3,1,diagnostic-complete
2475.0,B,2026-09-08T23:14:15.311097+00:00,25,False,3,3,0,diagnostic-complete
2475.0,B,2026-09-08T23:14:15.311097+00:00,50,False,3,3,0,diagnostic-complete
2475.0,B,2026-09-08T23:14:15.311097+00:00,100,False,3,3,0,diagnostic-complete
2475.0,B,2026-09-08T23:14:15.311097+00:00,200,False,3,3,0,diagnostic-complete
2475.0,B,2026-09-08T23:14:15.311097+00:00,1000,False,3,3,2,diagnostic-complete
2475.0,B,2026-09-08T23:14:15.311097+00:00,200,True,3,3,0,diagnostic-complete
2475.0,B,2026-09-08T23:14:15.311097+00:00,1000,True,3,3,2,diagnostic-complete
