frequency_mhz,dwell_us,round,control,port,observable,frozen_weight,relative_phase_bias_deg,gain_error_db,error
5800.0,200,1,False,ANT1,False,0.00264710404586846,-7.278144087067563,1.384101266728977,
5800.0,200,1,False,ANT2,True,0.3999336163696669,-0.5774062765570472,-0.36318261322791445,
5800.0,200,1,False,ANT4,True,0.2093481496253402,2.321997514590292,-0.6409983903750694,
5800.0,200,1,False,ANT8,True,0.1111756473548976,-3.26371212191503,-0.5398015597124474,
5800.0,200,1,False,ANT7,True,0.2039874042741851,0.35710324361913703,-0.32693309161333484,
5800.0,200,1,False,ANT5,True,0.0729080783300419,0.7402225125538973,-0.5399464605782076,
5800.0,200,1,True,ANT1,,,,,autonomous C6 harmonic frequency estimates are inconsistent
5800.0,200,1,True,ANT2,,,,,autonomous C6 harmonic frequency estimates are inconsistent
5800.0,200,1,True,ANT4,,,,,autonomous C6 harmonic frequency estimates are inconsistent
5800.0,200,1,True,ANT8,,,,,autonomous C6 harmonic frequency estimates are inconsistent
5800.0,200,1,True,ANT7,,,,,autonomous C6 harmonic frequency estimates are inconsistent
5800.0,200,1,True,ANT5,,,,,autonomous C6 harmonic frequency estimates are inconsistent
5800.0,1000,1,False,ANT1,False,0.00264710404586846,-0.11304368496804641,2.7714800645857975,
5800.0,1000,1,False,ANT2,True,0.3999336163696669,-0.8536820563805716,0.3039780310060798,
5800.0,1000,1,False,ANT4,True,0.2093481496253402,1.6358673691220633,0.2825776060262227,
5800.0,1000,1,False,ANT8,True,0.1111756473548976,-2.100591212846378,0.22163002781485946,
5800.0,1000,1,False,ANT7,True,0.2039874042741851,0.8988031018198774,0.31008104783089396,
5800.0,1000,1,False,ANT5,True,0.0729080783300419,0.6779758204694855,0.32423361378343113,
5800.0,1000,2,False,ANT1,False,0.00264710404586846,14.828671340922272,-0.965394464238676,
5800.0,1000,2,False,ANT2,True,0.3999336163696669,-1.5895396358295892,-0.10987268171440864,
5800.0,1000,2,False,ANT4,True,0.2093481496253402,2.6144991856683144,-0.21237841789868378,
5800.0,1000,2,False,ANT8,True,0.1111756473548976,-1.7885533811208698,-0.20022591885047972,
5800.0,1000,2,False,ANT7,True,0.2039874042741851,0.6553616352286272,0.08868173723842065,
5800.0,1000,2,False,ANT5,True,0.0729080783300419,1.5746540106609417,-0.010731111377806237,
5800.0,200,2,True,ANT1,False,0.00264710404586846,-4.662821284010823,-1.0452389415773031,
5800.0,200,2,True,ANT2,True,0.3999336163696669,-1.0375204866993883,0.01823172517160612,
5800.0,200,2,True,ANT4,True,0.2093481496253402,2.042286281510337,-0.04756654691948115,
5800.0,200,2,True,ANT8,True,0.1111756473548976,-1.0253476210948858,-0.2757026715711775,
5800.0,200,2,True,ANT7,True,0.2039874042741851,0.5116528065172695,0.14739944771922658,
5800.0,200,2,True,ANT5,True,0.0729080783300419,0.12901096827362343,0.20562488543660146,
5800.0,200,2,False,ANT1,False,0.00264710404586846,-5.381898198103214,0.9958036649774477,
5800.0,200,2,False,ANT2,True,0.3999336163696669,-0.7819565870152826,-0.12021271781704783,
5800.0,200,2,False,ANT4,True,0.2093481496253402,0.35226960778958494,-0.22009245801759586,
5800.0,200,2,False,ANT8,True,0.1111756473548976,-0.9297689517399407,-0.3140702360882788,
5800.0,200,2,False,ANT7,True,0.2039874042741851,2.2731725518379915,-0.15305640546261917,
5800.0,200,2,False,ANT5,True,0.0729080783300419,-1.4679513858625628,0.28093082844443384,
5800.0,200,3,False,ANT1,False,0.00264710404586846,3.443861309209253,0.8592674606463292,
5800.0,200,3,False,ANT2,True,0.3999336163696669,-1.522370715696749,0.02804860640551764,
5800.0,200,3,False,ANT4,True,0.2093481496253402,0.7562232774953279,-0.4147230767909385,
5800.0,200,3,False,ANT8,True,0.1111756473548976,1.5394508210015596,-0.2843981924482958,
5800.0,200,3,False,ANT7,True,0.2039874042741851,1.9316496480153318,-0.07056971768477002,
5800.0,200,3,False,ANT5,True,0.0729080783300419,-1.6973295661830887,-0.4182193361405596,
5800.0,1000,3,False,ANT1,False,0.00264710404586846,5.114554508899969,2.3138941497907584,
5800.0,1000,3,False,ANT2,True,0.3999336163696669,-0.9296993261729152,0.23841097865504646,
5800.0,1000,3,False,ANT4,True,0.2093481496253402,0.9780467405118047,-0.09866557315488922,
5800.0,1000,3,False,ANT8,True,0.1111756473548976,-1.3537946625347939,0.13894753939405266,
5800.0,1000,3,False,ANT7,True,0.2039874042741851,1.7042150428339995,0.3927989981949891,
5800.0,1000,3,False,ANT5,True,0.0729080783300419,-0.5973872882145419,0.3641002556805757,
5800.0,200,3,True,ANT1,False,0.00264710404586846,83.27256379435192,12.90992207354078,
5800.0,200,3,True,ANT2,True,0.3999336163696669,-10.737180922382477,-12.583383315988858,
5800.0,200,3,True,ANT4,True,0.2093481496253402,75.98178598550847,-4.757830637965125,
5800.0,200,3,True,ANT8,True,0.1111756473548976,-7.44973887985028,0.7313801578549138,
5800.0,200,3,True,ANT7,True,0.2039874042741851,-51.413364086634274,-3.0768950526691135,
5800.0,200,3,True,ANT5,True,0.0729080783300419,35.783964088252986,0.9604777620488015,
