epoch,position,port,run_json,sha256,transfer_magnitude,phase_rms_10ms_deg,rx1_power_counts2,rx2_total_power_counts2
earlier,before,ANT1,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-before-A-ANT1-20260908T071202.171713Z/run.json,fc9eea713a73acd999a6d4c4cc19a922cdc302f843ad388fd32d9cbf33c979c1,0.0005037587392507237,32.21938003170703,37693.3604835,83.4834095
earlier,before,ANT2,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-before-A-ANT2-20260908T071215.967105Z/run.json,12b90877d7cb5b3fe24959caf669d0e76292e93aa870ebd6343463e1458cbbd7,0.004572676503531621,3.3143185562508166,37896.307034749996,71.667127
earlier,before,ANT4,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-before-A-ANT4-20260908T071229.792891Z/run.json,5c423c0ec3430e825f499d75367293dfda23239a084d1c2ce0d9b1421d40f0bf,0.0034097853830078757,4.04506552699045,38009.376848,68.52879975
earlier,before,ANT8,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-before-A-ANT8-20260908T071244.345197Z/run.json,0278cb809266edad4f483d4ca27ec573a3e65d4c7c578ee0c24828aab3975d2f,0.002189757325028052,6.27798482088278,38016.481846,68.44165525
earlier,before,ANT7,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-before-A-ANT7-20260908T071257.692393Z/run.json,29223b634e48ae7c636cf1baf52ca6b292581b165399205f435eef875e176c9a,0.0032846855218966768,3.8533451886896493,38074.289765,68.27938075
earlier,before,ANT5,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-before-A-ANT5-20260908T071316.062249Z/run.json,0f5a7d727d06f18a5921b073c382abbc814ff29001b173b3fdcecc34d631cf9f,0.001969083702805286,6.974735004379829,38087.6514045,68.48872675
earlier,after,ANT1,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-A-ANT1-20260908T072642.842730Z/run.json,fa6d4ea62edf7c27a27fb215082f1c967b53c927ec0ece8c05b4e4a50c07d5f8,0.000549565049340533,31.528236810375567,37877.58508625,83.59244225
earlier,after,ANT2,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-A-ANT2-20260908T072657.478702Z/run.json,6f86e5241ae89e162d040a5e24d40807a0ee2ada1e3865748777de4ea4974a1a,0.004565896427754138,2.8896342836530966,37889.38055,68.5549335
earlier,after,ANT4,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-A-ANT4-20260908T072713.020686Z/run.json,81668aa610720480fd27c5459677f039fcc91a27a78ff062f203f73eefc4dc09,0.0034218701192453155,4.062407114045428,37901.56778,68.78027475
earlier,after,ANT8,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-A-ANT8-20260908T072726.911260Z/run.json,cefc973b9daf5379aad422f2b57d280f0c9e489837d5ff2fa90f570d93e423cd,0.0023115390821285093,6.12959742080658,37907.086556,68.46178975
earlier,after,ANT7,/srv/bulk/samteway/lab-data/tracking-rate-timing-20260908-v2/captures/ref-after-A-ANT7-20260908T072740.229061Z/run.json,b0a53f96de002f143f957be9b19990bf69ad3ec2bb5b6cf83c5685d0ef340c4f,0.003308635874419223,4.126730250902139,37951.367468,68.12926925
