block,configuration,dwell_us,main_attempts,main_passes,three_independent_main_trials,control_attempts,control_passes,controls_complete,controls_pass,bracket_pass,clean_condition_pass,frequency_hz
block-20260911T211805001077Z,D,25,3,0,True,6,6,True,True,True,False,5800000000
block-20260911T211805001077Z,D,50,3,0,True,6,6,True,True,True,False,5800000000
block-20260911T211805001077Z,D,100,3,3,True,6,6,True,True,True,True,5800000000
block-20260911T211805001077Z,D,200,3,3,True,6,6,True,True,True,True,5800000000
block-20260911T211805001077Z,D,1000,3,3,True,6,6,True,True,True,True,5800000000
block-20260911T212846818552Z,B,25,3,0,True,6,6,True,True,True,False,5800000000
block-20260911T212846818552Z,B,50,3,0,True,6,6,True,True,True,False,5800000000
block-20260911T212846818552Z,B,100,3,0,True,6,6,True,True,True,False,5800000000
block-20260911T212846818552Z,B,200,3,3,True,6,6,True,True,True,True,5800000000
block-20260911T212846818552Z,B,1000,3,3,True,6,6,True,True,True,True,5800000000
block-20260911T215918963889Z,D,25,3,0,True,6,5,True,False,True,False,5811000000
block-20260911T215918963889Z,D,50,3,0,True,6,5,True,False,True,False,5811000000
block-20260911T215918963889Z,D,100,3,0,True,6,5,True,False,True,False,5811000000
block-20260911T215918963889Z,D,200,3,3,True,6,5,True,False,True,False,5811000000
block-20260911T215918963889Z,D,1000,3,3,True,6,5,True,False,True,False,5811000000
block-20260911T220948222664Z,B,25,3,0,True,6,2,True,False,False,False,5811000000
block-20260911T220948222664Z,B,50,3,0,True,6,2,True,False,False,False,5811000000
block-20260911T220948222664Z,B,100,3,1,True,6,2,True,False,False,False,5811000000
block-20260911T220948222664Z,B,200,3,1,True,6,2,True,False,False,False,5811000000
block-20260911T220948222664Z,B,1000,3,2,True,6,2,True,False,False,False,5811000000
block-20260911T182124128635Z,D,200,3,3,True,6,6,True,True,True,True,915000000
block-20260911T182124128635Z,D,1000,3,3,True,6,6,True,True,True,True,915000000
block-20260911T182851799643Z,B,200,3,2,True,6,5,True,False,True,False,915000000
block-20260911T182851799643Z,B,1000,3,3,True,6,5,True,False,True,False,915000000
block-20260911T183613359169Z,D,25,3,0,True,6,0,True,False,False,False,2475000000
block-20260911T183613359169Z,D,50,3,0,True,6,0,True,False,False,False,2475000000
block-20260911T183613359169Z,D,100,3,0,True,6,0,True,False,False,False,2475000000
block-20260911T183613359169Z,D,200,3,0,True,6,0,True,False,False,False,2475000000
block-20260911T183613359169Z,D,1000,3,0,True,6,0,True,False,False,False,2475000000
block-20260911T184646814791Z,B,25,3,0,True,6,0,True,False,False,False,2475000000
block-20260911T184646814791Z,B,50,3,0,True,6,0,True,False,False,False,2475000000
block-20260911T184646814791Z,B,100,3,0,True,6,0,True,False,False,False,2475000000
block-20260911T184646814791Z,B,200,3,0,True,6,0,True,False,False,False,2475000000
block-20260911T184646814791Z,B,1000,3,0,True,6,0,True,False,False,False,2475000000
