block,frequency_hz,configuration,dwell_us,round,main_phase_rms_deg,control_phase_rms_deg,phase_rms_difference_deg,pair_phase_gain_bracket_pass,main_run_json,control_run_json
block-20260911T211805001077Z,5800000000,D,1000,1,7.77423960633406,8.232983676123194,-0.45874406978913385,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T211805001077Z-r1-D-1000us-20260911T212100.691616Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T211805001077Z-r1-A-1000us-control-20260911T212014.464734Z/run.json
block-20260911T211805001077Z,5800000000,D,200,1,8.213167372603845,7.874330109841648,0.3388372627621967,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T211805001077Z-r1-D-200us-20260911T212148.007101Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T211805001077Z-r1-A-200us-control-20260911T212046.291502Z/run.json
block-20260911T211805001077Z,5800000000,D,200,2,8.602727416524317,8.263059476252218,0.3396679402720988,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T211805001077Z-r2-D-200us-20260911T212305.220224Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T211805001077Z-r2-A-200us-control-20260911T212336.608102Z/run.json
block-20260911T211805001077Z,5800000000,D,1000,2,7.486413377836109,7.630364136963651,-0.1439507591275424,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T211805001077Z-r2-D-1000us-20260911T212320.575118Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T211805001077Z-r2-A-1000us-control-20260911T212203.743937Z/run.json
block-20260911T211805001077Z,5800000000,D,1000,3,7.721419610063711,7.597709153978537,0.12371045608517406,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T211805001077Z-r3-D-1000us-20260911T212421.687359Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T211805001077Z-r3-A-1000us-control-20260911T212524.478114Z/run.json
block-20260911T211805001077Z,5800000000,D,200,3,7.738927805397797,8.23855631881378,-0.499628513415983,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T211805001077Z-r3-D-200us-20260911T212452.983414Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T211805001077Z-r3-A-200us-control-20260911T212407.255094Z/run.json
block-20260911T212846818552Z,5800000000,B,1000,1,7.585802875851336,7.3392591719793145,0.24654370387202107,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T212846818552Z-r1-B-1000us-20260911T213138.648792Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T212846818552Z-r1-A-1000us-control-20260911T213054.202433Z/run.json
block-20260911T212846818552Z,5800000000,B,200,1,7.800278211033641,8.030763885276151,-0.23048567424251054,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T212846818552Z-r1-B-200us-20260911T213225.730579Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T212846818552Z-r1-A-200us-control-20260911T213124.248039Z/run.json
block-20260911T212846818552Z,5800000000,B,200,2,7.563536745094778,8.269255411433637,-0.7057186663388588,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T212846818552Z-r2-B-200us-20260911T213344.544165Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T212846818552Z-r2-A-200us-control-20260911T213416.150163Z/run.json
block-20260911T212846818552Z,5800000000,B,1000,2,8.465483877591252,7.79362639981673,0.6718574777745223,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T212846818552Z-r2-B-1000us-20260911T213400.835946Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T212846818552Z-r2-A-1000us-control-20260911T213241.760350Z/run.json
block-20260911T212846818552Z,5800000000,B,1000,3,7.656877706379897,9.118192868815417,-1.4613151624355192,True,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T212846818552Z-r3-B-1000us-20260911T213500.658196Z/run.json,/srv/bulk/samteway/lab-data/tracking-5ms-full-20260911-resume-v2/captures/block-20260911T212846818552Z-r3-A-1000us-control-20260911T213602.967691Z/run.json
