block,configuration,dwell_us,main_attempts,main_passes,three_independent_main_trials,control_attempts,control_passes,controls_complete,controls_pass,bracket_pass,clean_condition_pass,frequency_hz
block-20260910T043304238564Z,A,200,3,3,True,3,3,True,True,True,True,5800000000
block-20260910T043304238564Z,A,1000,3,2,True,3,3,True,True,True,False,5800000000
block-20260910T043733496539Z,A,25,3,0,True,3,3,True,True,True,False,2475000000
block-20260910T043733496539Z,A,50,3,0,True,3,3,True,True,True,False,2475000000
block-20260910T043733496539Z,A,100,3,2,True,3,3,True,True,True,False,2475000000
block-20260910T043733496539Z,A,200,3,2,True,3,3,True,True,True,False,2475000000
block-20260910T043733496539Z,A,1000,3,2,True,3,3,True,True,True,False,2475000000
block-20260910T044450635209Z,B,25,3,0,True,6,3,True,False,False,False,2475000000
block-20260910T044450635209Z,B,50,3,2,True,6,3,True,False,False,False,2475000000
block-20260910T044450635209Z,B,100,3,2,True,6,3,True,False,False,False,2475000000
block-20260910T044450635209Z,B,200,3,2,True,6,3,True,False,False,False,2475000000
block-20260910T044450635209Z,B,1000,3,3,True,6,3,True,False,False,False,2475000000
block-20260910T045514538927Z,A,200,3,3,True,3,3,True,True,True,True,915000000
block-20260910T045514538927Z,A,1000,3,3,True,3,3,True,True,True,True,915000000
block-20260911T030034179397Z,A,25,3,0,True,3,3,True,True,True,False,5811000000
block-20260911T030034179397Z,A,50,3,1,True,3,3,True,True,True,False,5811000000
block-20260911T030034179397Z,A,100,3,2,True,3,3,True,True,True,False,5811000000
block-20260911T030034179397Z,A,200,3,3,True,3,3,True,True,True,True,5811000000
block-20260911T030034179397Z,A,1000,3,3,True,3,3,True,True,True,True,5811000000
block-20260911T030757473520Z,B,25,3,0,True,6,3,True,False,False,False,5811000000
block-20260911T030757473520Z,B,50,3,0,True,6,3,True,False,False,False,5811000000
block-20260911T030757473520Z,B,100,3,0,True,6,3,True,False,False,False,5811000000
block-20260911T030757473520Z,B,200,3,3,True,6,3,True,False,False,False,5811000000
block-20260911T030757473520Z,B,1000,3,3,True,6,3,True,False,False,False,5811000000
block-20260911T031816349144Z,D,25,3,0,True,6,6,True,True,True,False,5811000000
block-20260911T031816349144Z,D,50,3,1,True,6,6,True,True,True,False,5811000000
block-20260911T031816349144Z,D,100,3,2,True,6,6,True,True,True,False,5811000000
block-20260911T031816349144Z,D,200,3,3,True,6,6,True,True,True,True,5811000000
block-20260911T031816349144Z,D,1000,3,3,True,6,6,True,True,True,True,5811000000
