port,receiver_gain_db,rx2_background_rms_counts,rx2_source_on_rms_counts,source_on_over_muted_power_db,coherence,phase_rms_10ms_deg,relative_transfer_magnitude_db,phase_vs_rx1_deg,peak_rx1_counts,peak_rx2_counts
ANT1,30,1.7033823582650809,2.926287750717622,4.700097687661458,0.8073463495479918,0.834329709655302,-26.7321058409992,-73.4692434087149,57.0,9.0
ANT2,30,1.51960248550171,1.7035544458572494,0.9925204603237923,0.540059687878212,1.3710042555277706,-34.91820813624669,-94.578297045549,57.0,8.0
ANT4,30,1.5591585753063422,3.515480692593831,7.061888588553476,0.8995436128289809,0.9931182403207822,-24.19620207139222,99.11387459212754,57.0,9.0
ANT8,30,1.5385400427686908,2.7849192986512197,5.154076216593683,0.8527787109477228,0.9461386047624533,-26.685196625739206,31.23311833844529,57.0,8.0
ANT7,30,1.489718082188655,2.9676524813394174,5.986179069589533,0.8561029854086897,0.8647624776134004,-26.100371791591087,-10.018562733065863,57.0,13.0
ANT5,30,1.4894802665889688,5.503503406921813,11.352089716609864,0.9638900594506461,0.8008661612809875,-19.70270523662288,-106.02214519932278,57.0,15.0
ANT1,50,8.210410416162967,21.343609435847537,8.298059966807712,0.9349622201952292,0.6856996413486063,-26.915215718789163,-70.81355062804049,473.0,67.0
ANT2,50,4.35350086470724,9.473763494514733,6.753678072615149,0.8785759625522173,1.115870981769033,-34.508595749017374,-97.03707000635964,474.0,51.0
ANT4,50,5.127882553770792,28.340709121332868,14.849452857574533,0.9843352425890434,0.7208037126564995,-23.99860683806427,96.03640359433848,475.0,55.0
ANT8,50,15.781226124415218,20.55886189092188,2.2971665263831476,0.9687133994479529,0.7401715906595236,-26.92986920540711,34.190497278391135,475.0,50.0
ANT7,50,8.331842091096489,23.53959347567413,9.021158559674156,0.9762537916278013,0.6514576748708604,-25.680835238270873,-11.246885231681542,473.0,48.0
ANT5,50,6.952683010910939,48.39296283035375,16.852595660172707,0.996135635901364,0.44662089186225185,-19.248523152798388,-108.77786674772004,475.0,63.0
